entry_time,exit_time,symbol,direction,entry_price,exit_price,position_size,pnl,fees,duration_seconds,is_win,exit_reason
2026-04-18T11:11:15.511248,2026-04-18T11:26:15.511248,BTCUSD,long,65908.29,65525.95,1,-387.34,5.0,900.0,False,stop_loss
2026-04-18T11:26:15.511248,2026-04-18T11:40:15.511248,BTCUSD,short,65525.95,65258.82,1,262.13,5.0,840.0,True,take_profit
2026-04-18T11:41:15.511248,2026-04-18T12:00:15.511248,BTCUSD,short,65180.7,65447.41,1,-271.71,5.0,1140.0,False,stop_loss
2026-04-18T12:00:15.511248,2026-04-18T12:07:15.511248,BTCUSD,short,65447.41,65215.78,1,226.63,5.0,420.0,True,take_profit
2026-04-18T12:07:15.511248,2026-04-18T12:09:15.511248,BTCUSD,short,65215.78,65103.18,1,107.6,5.0,120.0,True,take_profit
2026-04-18T12:09:15.511248,2026-04-18T12:13:15.511248,BTCUSD,short,65103.18,65366.78,1,-268.6,5.0,240.0,False,stop_loss
2026-04-18T12:13:15.511248,2026-04-18T12:31:15.511248,BTCUSD,long,65366.78,65132.89,1,-238.89,5.0,1080.0,False,stop_loss
2026-04-18T12:31:15.511248,2026-04-18T12:35:15.511248,BTCUSD,short,65132.89,65072.59,1,55.3,5.0,240.0,True,take_profit
2026-04-18T12:35:15.511248,2026-04-18T12:48:15.511248,BTCUSD,short,65072.59,64757.03,1,310.56,5.0,780.0,True,take_profit
2026-04-18T12:48:15.511248,2026-04-18T12:56:15.511248,BTCUSD,short,64757.03,64527.66,1,224.37,5.0,480.0,True,take_profit
2026-04-18T12:56:15.511248,2026-04-18T14:20:15.511248,BTCUSD,short,64527.66,64843.02,1,-320.36,5.0,5040.0,False,stop_loss
2026-04-18T14:20:15.511248,2026-04-18T14:21:15.511248,BTCUSD,long,64843.02,64857.54,1,9.52,5.0,60.0,True,take_profit
2026-04-18T14:21:15.511248,2026-04-18T14:24:15.511248,BTCUSD,long,64857.54,64958.99,1,96.45,5.0,180.0,True,take_profit
2026-04-18T14:24:15.511248,2026-04-18T14:41:15.511248,BTCUSD,long,64958.99,64787.64,1,-176.35,5.0,1020.0,False,stop_loss
2026-04-18T14:41:15.511248,2026-04-18T14:48:15.511248,BTCUSD,long,64787.64,64551.93,1,-240.71,5.0,420.0,False,stop_loss
2026-04-18T14:48:15.511248,2026-04-18T14:56:15.511248,BTCUSD,short,64551.93,64848.54,1,-301.61,5.0,480.0,False,stop_loss
2026-04-18T14:56:15.511248,2026-04-18T15:10:15.511248,BTCUSD,long,64848.54,64615.35,1,-238.19,5.0,840.0,False,stop_loss
2026-04-18T15:10:15.511248,2026-04-18T15:12:15.511248,BTCUSD,short,64615.35,64766.58,1,-156.23,5.0,120.0,False,stop_loss
2026-04-18T15:12:15.511248,2026-04-18T15:14:15.511248,BTCUSD,short,64766.58,64610.28,1,151.3,5.0,120.0,True,take_profit
2026-04-18T15:14:15.511248,2026-04-18T15:16:15.511248,BTCUSD,short,64610.28,64495.45,1,109.83,5.0,120.0,True,take_profit
2026-04-18T15:16:15.511248,2026-04-18T15:22:15.511248,BTCUSD,short,64495.45,64675.82,1,-185.37,5.0,360.0,False,stop_loss
2026-04-18T15:22:15.511248,2026-04-18T15:46:15.511248,BTCUSD,short,64675.82,64427.59,1,243.23,5.0,1440.0,True,take_profit
2026-04-18T15:46:15.511248,2026-04-18T15:57:15.511248,BTCUSD,short,64427.59,64539.09,1,-116.5,5.0,660.0,False,stop_loss
2026-04-18T15:57:15.511248,2026-04-18T16:04:15.511248,BTCUSD,short,64539.09,64351.77,1,182.32,5.0,420.0,True,take_profit
2026-04-18T16:04:15.511248,2026-04-18T16:15:15.511248,BTCUSD,short,64351.77,64204.01,1,142.76,5.0,660.0,True,take_profit
2026-04-18T16:15:15.511248,2026-04-18T16:19:15.511248,BTCUSD,short,64204.01,64380.2,1,-181.19,5.0,240.0,False,stop_loss
2026-04-18T16:19:15.511248,2026-04-18T16:21:15.511248,BTCUSD,short,64380.2,64552.96,1,-177.76,5.0,120.0,False,stop_loss
2026-04-18T16:21:15.511248,2026-04-18T16:23:15.511248,BTCUSD,long,64552.96,64351.84,1,-206.12,5.0,120.0,False,stop_loss
2026-04-18T16:23:15.511248,2026-04-18T16:31:15.511248,BTCUSD,short,64351.84,64133.83,1,213.01,5.0,480.0,True,take_profit
2026-04-18T16:44:15.511248,2026-04-18T16:51:15.511248,BTCUSD,short,64269.45,64480.04,1,-215.59,5.0,420.0,False,stop_loss
2026-04-18T16:51:15.511248,2026-04-18T17:44:15.511248,BTCUSD,long,64480.04,64945.25,1,460.21,5.0,3180.0,True,take_profit
2026-04-18T17:44:15.511248,2026-04-18T17:55:15.511248,BTCUSD,long,64945.25,64748.42,1,-201.83,5.0,660.0,False,stop_loss
2026-04-18T17:55:15.511248,2026-04-18T18:25:15.511248,BTCUSD,long,64748.42,65112.99,1,359.57,5.0,1800.0,True,take_profit
2026-04-18T18:25:15.511248,2026-04-18T18:31:15.511248,BTCUSD,long,65112.99,65262.18,1,144.19,5.0,360.0,True,take_profit
2026-04-18T18:31:15.511248,2026-04-18T18:34:15.511248,BTCUSD,long,65262.18,65108.7,1,-158.48,5.0,180.0,False,stop_loss
2026-04-18T18:34:15.511248,2026-04-18T18:42:15.511248,BTCUSD,long,65108.7,65398.13,1,284.43,5.0,480.0,True,take_profit
2026-04-18T18:42:15.511248,2026-04-18T18:50:15.511248,BTCUSD,long,65398.13,65618.75,1,215.62,5.0,480.0,True,take_profit
2026-04-18T18:51:15.511248,2026-04-18T19:00:15.511248,BTCUSD,long,65691.54,66138.49,1,441.95,5.0,540.0,True,take_profit
2026-04-18T19:10:15.511248,2026-04-18T19:11:15.511248,BTCUSD,long,66187.12,66330.46,1,138.34,5.0,60.0,True,take_profit
2026-04-18T19:23:15.511248,2026-04-18T19:33:15.511248,BTCUSD,long,66497.23,66613.62,1,111.39,5.0,600.0,True,take_profit
2026-04-18T19:34:15.511248,2026-04-18T19:35:15.511248,BTCUSD,long,66517.23,66371.14,1,-151.09,5.0,60.0,False,stop_loss
2026-04-18T19:35:15.511248,2026-04-18T19:42:15.511248,BTCUSD,long,66371.14,66240.15,1,-135.99,5.0,420.0,False,stop_loss
2026-04-18T19:42:15.511248,2026-04-18T19:46:15.511248,BTCUSD,short,66240.15,66457.12,1,-221.97,5.0,240.0,False,stop_loss
2026-04-18T19:47:15.511248,2026-04-18T19:49:15.511248,BTCUSD,long,66386.04,66239.0,1,-152.04,5.0,120.0,False,stop_loss
2026-04-18T19:49:15.511248,2026-04-18T19:54:15.511248,BTCUSD,short,66239.0,66176.57,1,57.43,5.0,300.0,True,take_profit
2026-04-18T19:54:15.511248,2026-04-18T19:57:15.511248,BTCUSD,short,66176.57,66340.81,1,-169.24,5.0,180.0,False,stop_loss
2026-04-18T19:57:15.511248,2026-04-18T20:01:15.511248,BTCUSD,short,66340.81,66461.46,1,-125.65,5.0,240.0,False,stop_loss
2026-04-18T20:01:15.511248,2026-04-18T20:02:15.511248,BTCUSD,long,66461.46,66504.19,1,37.73,5.0,60.0,True,take_profit
2026-04-18T20:02:15.511248,2026-04-18T20:07:15.511248,BTCUSD,long,66504.19,66743.04,1,233.85,5.0,300.0,True,take_profit
2026-04-18T20:11:15.511248,2026-04-18T20:19:15.511248,BTCUSD,long,66719.93,66348.88,1,-376.05,5.0,480.0,False,stop_loss
2026-04-18T20:19:15.511248,2026-04-18T20:41:15.511248,BTCUSD,short,66348.88,66268.81,1,75.07,5.0,1320.0,True,end_of_data
